iter	MAE	RMSE
0	41922.6691	66543.74753
1	41455.6567	65831.90403
2	40998.96283	65160.22567
3	40835.54892	64871.40249
4	39729.10219	63779.25289
5	39383.61599	63286.7902
6	39057.87272	62729.87781
7	37729.84519	61373.31062
8	36805.10593	60283.79789
9	36298.5793	59567.28932
10	35144.44237	58566.32588
11	34252.87324	57258.44416
12	33366.56962	56338.5312
13	32418.53236	55073.98767
14	31604.50391	54129.90949
15	30868.7633	53349.46276
16	30080.81895	52497.7559
17	29789.65654	51980.05835
18	29566.50323	51580.04848
19	29046.56123	50872.13862
20	28464.63162	50044.86221
21	27776.33101	49096.67004
22	27552.45148	48702.6785
23	26805.8325	47622.47005
24	26595.83479	47199.86836
25	25930.18309	46317.43128
26	25524.61172	45747.04148
27	25501.07736	45616.35804
28	24827.90116	44637.86736
29	24554.95741	44187.58025
30	23856.4569	43451.05745
31	23379.22723	42803.89375
32	23224.18933	42467.79531
33	22865.69424	41950.50902
34	22709.34384	41625.62296
35	22265.67129	41114.71059
36	22122.8156	40799.82904
37	21860.69378	40372.80688
38	21573.56823	39946.11882
39	21409.45741	39618.35616
40	21105.7473	39157.8912
41	20575.09279	38550.3046
42	20447.97299	38262.78197
43	19954.35635	37453.9063
44	19861.53504	37161.05709
45	19515.68379	36670.65363
46	19338.02309	36332.02824
47	19004.07749	35746.18801
48	18908.92592	35482.49806
49	18564.68064	35025.41703
50	18267.08622	34588.13633
51	17931.59293	33947.36362
52	17560.42162	33250.13685
53	17295.04712	32785.75212
54	17091.07475	32416.39459
55	17017.15877	32178.9942
56	16944.63036	31945.88948
57	16873.45137	31717.01497
58	16737.55831	31456.43641
59	16562.53976	31051.67788
60	16433.27617	30796.1788
61	16367.09022	30581.8805
62	16186.33661	30271.12927
63	16016.60861	29928.38756
64	15910.24936	29701.48411
65	15831.73333	29601.30844
66	15670.42361	29319.06331
67	15593.26973	29081.02889
68	15345.53215	28622.72832
69	15146.08419	28269.94671
70	15087.77817	28081.89194
71	15046.91305	27883.15369
72	14952.079	27686.15854
73	14896.35138	27508.17672
74	14775.73846	27304.72774
75	14722.12078	27133.22235
76	14679.43694	26953.44594
77	14555.50479	26750.88234
78	14429.37847	26494.93033
79	14379.62732	26335.25995
80	14217.16086	26009.7937
81	14170.21683	25853.89806
82	13916.36849	25329.64665
83	13873.90727	25180.22288
84	13831.99587	25033.65953
85	13753.50999	24877.02612
86	13617.34695	24604.1634
87	13575.32419	24465.70284
88	13473.50625	24294.02804
89	13315.92128	24007.94507
90	13100.4975	23762.60674
91	13060.74317	23632.40304
92	13021.54556	23504.74339
93	12991.49181	23365.0929
94	12894.6666	23211.49225
95	12730.79466	22916.77434
96	12576.19163	22604.13268
97	12540.3606	22486.49608
98	12403.83133	22186.44328
99	12373.30705	22122.78893
100	12337.78813	22009.25711
101	12134.80711	21580.69825
102	12100.699	21471.58663
103	12067.05062	21364.65044
104	12033.85472	21259.85417
105	11950.14906	21091.76401
106	11918.3127	20990.84095
107	11886.88669	20891.95588
108	11745.30969	20639.12622
109	11664.31542	20488.89274
110	11636.6719	20434.79124
111	11606.01945	20341.2485
112	11540.95167	20233.72942
113	11493.11409	20126.51231
114	11446.02553	20021.56736
115	11380.10069	19914.20741
116	11300.7098	19769.15863
117	11252.54783	19674.15152
118	11225.67704	19592.70744
119	11199.12848	19512.95961
120	11174.35533	19467.24349
121	11103.49362	19334.24207
122	11067.05581	19236.08802
123	11041.09752	19161.29918
124	10983.06501	19074.21362
125	10931.05664	18991.93688
126	10908.35149	18951.19161
127	10911.88522	18927.65488
128	10840.73221	18793.00475
129	10769.91248	18673.4641
130	10742.19364	18588.87033
131	10708.61991	18519.68865
132	10657.9311	18445.14719
133	10616.40611	18372.43345
134	10504.02747	18257.66956
135	10443.47829	18152.80534
136	10337.13514	18045.42227
137	10301.65908	17975.82684
138	10244.42723	17878.65978
139	10179.94279	17773.57996
140	10160.64502	17741.06517
141	10152.26664	17723.69301
142	10133.38921	17694.21568
143	10114.78063	17666.40716
144	10050.42572	17566.95589
145	9952.514953	17452.13177
146	9891.528431	17359.74543
147	9798.807972	17273.36243
148	9713.640978	17168.77106
149	9643.622265	17068.08687
150	9613.840054	16988.46966
151	9548.027084	16894.16284
152	9519.975872	16841.80904
153	9488.708228	16767.84742
154	9426.171593	16680.54642
155	9408.593422	16659.63021
156	9378.662067	16591.02538
157	9319.118072	16509.80172
158	9290.379652	16445.87522
159	9233.430254	16369.6873
160	9177.923455	16296.27716
161	9153.064548	16239.48131
162	9136.916197	16222.1781
163	9112.65796	16167.61834
164	9088.358338	16117.11681
165	9072.746828	16101.11457
166	9048.867327	16052.30008
167	9038.134853	16037.2818
168	9023.227605	15990.09111
169	9010.733164	15941.83636
170	8995.995139	15897.62753
171	8988.307366	15883.79358
172	8977.75402	15839.57186
173	8970.111752	15826.66687
174	8955.329754	15785.34717
175	8940.68862	15745.28259
176	8910.756575	15690.07691
177	8896.287317	15652.38015
178	8881.958574	15615.79948
179	8874.664977	15604.29222
180	8846.31618	15553.76461
181	8832.060529	15519.39068
182	8820.60548	15484.74188
183	8813.481567	15474.38713
184	8787.581948	15436.57896
185	8767.541648	15400.1846
186	8763.089649	15369.36155
187	8744.143514	15335.25183
188	8738.923161	15305.74741
189	8735.809837	15296.60087
190	8735.134058	15287.92077
191	8727.812239	15260.07575
192	8716.920167	15229.19382
193	8709.49616	15203.00778
194	8708.321338	15195.07004
195	8706.936523	15187.52135
196	8705.353519	15180.33673
197	8698.102799	15155.18925
198	8690.272537	15130.25663
199	8680.03151	15103.06088
200	8678.005106	15096.42369
