iter	Passed	Remaining
0	58	17347
1	58	8723
2	58	5819
3	58	4361
4	59	3499
5	59	2916
6	59	2502
7	60	2190
8	60	1949
9	60	1755
10	60	1594
11	60	1461
12	61	1348
13	61	1252
14	61	1168
15	61	1093
16	62	1041
17	62	982
18	62	929
19	63	882
20	63	839
21	63	800
22	63	766
23	63	734
24	64	706
25	64	678
26	64	652
27	64	628
28	65	607
29	65	586
30	65	565
31	65	548
32	65	530
33	65	513
34	65	498
35	66	488
36	66	474
37	67	467
38	68	455
39	68	442
40	68	431
41	69	425
42	69	414
43	69	404
44	69	394
45	70	388
46	70	380
47	70	371
48	71	366
49	71	359
50	72	355
51	73	348
52	73	341
53	73	334
54	73	327
55	73	320
56	73	314
57	73	308
58	74	302
59	74	296
60	74	293
61	75	287
62	75	283
63	75	278
64	75	274
65	75	269
66	76	264
67	76	260
68	76	255
69	76	251
70	76	247
71	77	245
72	77	241
73	77	237
74	78	234
75	78	230
76	78	226
77	78	223
78	78	220
79	78	216
80	78	213
81	79	210
82	79	207
83	79	204
84	79	200
85	79	197
86	80	196
87	80	193
88	80	191
89	80	188
90	81	186
91	81	183
92	81	180
93	81	178
94	81	175
95	81	173
96	81	171
97	81	168
98	82	168
99	83	166
100	83	163
101	83	161
102	83	159
103	83	157
104	83	155
105	83	153
106	83	151
107	83	149
108	84	147
109	84	145
110	84	143
111	84	141
112	84	140
113	84	138
114	85	137
115	85	135
116	85	133
117	85	132
118	85	130
119	85	128
120	85	127
121	86	125
122	86	124
123	86	122
124	86	121
125	86	119
126	86	118
127	86	116
128	87	115
129	87	114
130	87	112
131	87	111
132	87	110
133	87	108
134	88	107
135	88	106
136	88	105
137	88	104
138	88	102
139	88	101
140	89	100
141	89	99
142	89	98
143	89	96
144	89	95
145	89	94
146	90	94
147	90	93
148	90	92
149	90	90
150	91	89
151	91	88
152	91	87
153	91	86
154	91	85
155	91	84
156	92	83
157	92	82
158	92	82
159	92	81
160	92	80
161	92	79
162	92	78
163	93	77
164	93	76
165	93	75
166	93	74
167	93	73
168	94	72
169	94	71
170	94	71
171	94	70
172	94	69
173	94	68
174	94	67
175	94	66
176	95	66
177	95	65
178	95	64
179	95	63
180	95	62
181	95	62
182	96	61
183	96	60
184	96	59
185	96	59
186	96	58
187	96	57
188	96	56
189	96	55
190	96	55
191	97	54
192	97	53
193	97	53
194	97	52
195	97	51
196	97	51
197	97	50
198	97	49
199	98	49
200	98	48
201	98	47
202	98	47
203	98	46
204	98	45
205	98	45
206	99	44
207	99	44
208	100	43
209	100	43
210	101	42
211	101	41
212	101	41
213	101	40
214	101	40
215	101	39
216	101	38
217	101	38
218	101	37
219	102	37
220	102	36
221	102	35
222	102	35
223	102	34
224	102	34
225	102	33
226	103	33
227	103	32
228	103	32
229	103	31
230	103	30
231	103	30
232	103	29
233	103	29
234	104	28
235	104	28
236	104	27
237	105	27
238	105	26
239	105	26
240	105	25
241	105	25
242	105	24
243	105	24
244	105	23
245	106	23
246	106	22
247	106	22
248	106	21
249	106	21
250	106	20
251	106	20
252	106	19
253	107	19
254	107	18
255	107	18
256	107	17
257	107	17
258	107	17
259	107	16
260	107	16
261	107	15
262	107	15
263	107	14
264	108	14
265	108	13
266	108	13
267	108	12
268	108	12
269	108	12
270	108	11
271	108	11
272	108	10
273	108	10
274	109	9
275	109	9
276	109	9
277	109	8
278	109	8
279	109	7
280	109	7
281	109	7
282	109	6
283	109	6
284	110	5
285	110	5
286	110	4
287	110	4
288	110	4
289	110	3
290	110	3
291	110	3
292	111	2
293	111	2
294	111	1
295	111	1
296	111	1
297	111	0
298	111	0
299	111	0
